city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Lüderitz,NA,1612267562,-26.6481,15.1594,72.43,59,0,13.38
Fukuechō,JP,1612267562,32.6881,128.8419,43.03,70,0,25.97
Tual,ID,1612267563,-5.6667,132.75,83.21,76,100,19.77
Ucluelet,CA,1612267563,48.9329,-125.5528,42.01,91,58,0.25
Henties Bay,NA,1612267563,-22.116,14.2845,67.69,76,21,10.31
Tabou,CI,1612267563,4.423,-7.3528,83.79,74,44,6.62
Santo Tomas,PH,1612267563,14.1079,121.1414,80.6,65,20,5.75
Longyearbyen,SJ,1612267563,78.2186,15.6401,19.4,86,90,13.8
Río Cuarto,AR,1612267564,-33.1307,-64.3499,60.8,94,90,2.3
Iberia,US,1612267564,29.9502,-91.7507,35.6,87,1,3.44
Shingū,JP,1612267564,33.7333,135.9833,41.99,67,0,9.01
Sur,OM,1612267564,22.5667,59.5289,74.17,57,0,8.21
Kenai,US,1612267564,60.5544,-151.2583,3.99,66,1,6.91
Senneterre,CA,1612267564,48.3835,-77.2328,-4.0,92,1,3.44
Mazabuka,ZM,1612267565,-15.856,27.748,79.3,74,98,3.38
Coro,VE,1612267565,11.4045,-69.6734,75.27,79,77,13.53
Sydney,AU,1612267340,-33.8679,151.2073,70.0,78,75,18.41
Sistranda,NO,1612267565,63.7256,8.834,19.4,86,40,16.11
Marawi,PH,1612267565,7.9986,124.2928,73.99,93,99,5.99
Qena,EG,1612267565,26.1615,32.7183,78.8,27,0,3.44
Coyhaique,CL,1612267565,-45.5752,-72.0662,55.4,76,20,4.61
Hajdúdorog,HU,1612267596,47.8167,21.5,35.6,93,90,9.22
Tiznit Province,MA,1612267596,29.5833,-9.5,76.59,22,100,2.98
Cockburn Town,TC,1612267596,21.4612,-71.1419,77.0,78,40,6.91
Sumter,US,1612267596,28.7086,-82.0831,41.0,70,14,7.0
Lompoc,US,1612267596,34.6391,-120.4579,48.2,93,90,3.44
Havøysund,NO,1612267596,70.9963,24.6622,24.8,93,90,5.75
Ponta do Sol,PT,1612267596,32.6667,-17.1,63.0,63,22,5.99
Son La,VN,1612267596,21.3167,103.9,63.36,85,23,3.15
Ixtapa,MX,1612267597,20.7,-105.2,68.0,96,86,1.7
Kalmunai,LK,1612267597,7.4167,81.8167,79.83,82,70,15.14
Catuday,PH,1612267597,16.2923,119.8062,75.99,80,76,11.56
São João da Barra,BR,1612267597,-21.6403,-41.0511,82.4,57,0,9.22
Rundu,NA,1612267597,-17.9333,19.7667,82.26,55,93,6.35
Tonneins,FR,1612267597,44.3921,0.3124,62.6,77,0,5.75
Hinche,HT,1612267597,19.15,-72.0167,68.27,83,2,2.53
Broken Hill,AU,1612267598,-31.95,141.4333,73.4,27,0,11.5
Codrington,AU,1612267598,-38.2667,141.9667,59.22,71,98,9.98
Lixouri,GR,1612267598,38.2019,20.4314,60.8,82,75,10.36
